"date,""lead_name"",""business"",""area"",""phone_or_link"",""channel"",""status"",""next_action"",""next_date"",""notes"",""lead_id"""
"2026-03-05,""4U Power Generation FZC"",""4U Power Generation FZC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4u-power-generation-fzc-188988"",""UAE0892"""
"2026-03-05,""7 Dimensions Media FZE"",""7 Dimensions Media FZE"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/7-dimensions-media-fze-127275"",""UAE0893"""
"2026-03-05,""A A A Constn Equipment Establishment"",""A A A Constn Equipment Establishment"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-a-a-constn-equipment-establishment-109630"",""UAE0894"""
"2026-03-05,""A Alico Ltd"",""A Alico Ltd"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-alico-ltd-141175"",""UAE0895"""
"2026-03-05,""A Alico Ltd"",""A Alico Ltd"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-alico-ltd-141175"",""UAE0896"""
"2026-03-05,""A Alvares"",""A Alvares"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-alvares-145325"",""UAE0897"""
"2026-03-05,""A B C Nursery Sharjah"",""A B C Nursery Sharjah"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-b-c-nursery-sharjah-148108"",""UAE0898"""
"2026-03-05,""A B El Fida Pharmacy"",""A B El Fida Pharmacy"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-b-el-fida-pharmacy-170976"",""UAE0899"""
"2026-03-05,""A C C L Aero Academy"",""A C C L Aero Academy"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-c-c-l-aero-academy-164894"",""UAE0900"""
"2026-03-05,""A G Corporation FZE"",""A G Corporation FZE"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-g-corporation-fze-164918"",""UAE0901"""
"2026-03-05,""A H S Aviation Services FZE"",""A H S Aviation Services FZE"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-h-s-aviation-services-fze-164915"",""UAE0902"""
"2026-03-05,""A Hatim Brothers"",""A Hatim Brothers"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-hatim-brothers-113780"",""UAE0903"""
"2026-03-05,""A J M Kooheji Group LLC"",""A J M Kooheji Group LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-j-m-kooheji-group-llc-164071"",""UAE0904"""
"2026-03-05,""A J Sports"",""A J Sports"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-j-sports-107866"",""UAE0905"""
